Título,Año y Kms,Ubicación,Precio,Marca,Modelo,Subtipo,Recorrido,Climatización,Tracción,Color,Placa Número,Vidrios,Transmisión,Dirección,Motor,Tapizado,Combustible,Placa,Imagen URL
Mini Cooper,2020 40000 Kms.,Negociable,$ 29.900,Mini,Cooper,,,,,,,,,,,,,,
Toyota New Fortuner,2019 70000 Kms.,Negociable,$ 35.900,Toyota,New Fortuner,Todoterreno,70000 Kms,Aire Acondicionado,4 x 4,Café,9,Eléctricos,Manual,Asistida,2700,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/1122024/1868448/o_o/1868448_1733091319473_412.jpg
Toyota Fortuner 2.7,2019 70000 Kms.,Negociable,$ 35.900,Toyota,Fortuner 2.7,Todoterreno,70000 Kms,Aire Acondicionado,4 x 4,Café,9,Eléctricos,Manual,Asistida,2700,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/1122024/1868447/o_o/1868447_1733091249175_602.jpg
Kia NIRO Hibrido,2017 100000 Kms.,Negociable,$ 13.900,Kia,NIRO Hibrido,Crossover,100000 Kms,Aire Acondicionado,4 x 2,Azul,8,Eléctricos,Automática,Asistida,1600,Cuero,Híbrido,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/22112024/1866840/o_o/1866840_1732329874746_442.jpg
BMW 330i,2020 45000 Kms.,Negociable,$ 41.900,BMW,330i,,,,,,,,,,,,,,
Hyundai Kona,2022 37000 Kms.,Negociable,$ 22.400,Hyundai,Kona,,,,,,,,,,,,,,
Kia Sportage R,2024 7300 Kms.,Negociable,$ 30.900,Kia,Sportage R,,,,,,,,,,,,,,
Kia Sportage,2024 7300 Kms.,Negociable,$ 30.900,Kia,Sportage,,,,,,,,,,,,,,
Hyundai Kona Sel,2022 37000 Kms.,Negociable,$ 22.400,Hyundai,Kona Sel,,,,,,,,,,,,,,
Ford Escape S,2015 77000 Mi.,Negociable,$ 14.900,Ford,Escape S,,,,,,,,,,,,,,
Ford Escape,2015 77000 Mi.,Negociable,$ 14.900,Ford,Escape,,,,,,,,,,,,,,
Volkswagen Tiguan,2021 21000 Kms.,Negociable,$ 26.300,Volkswagen,Tiguan,,,,,,,,,,,,,,
Ford Explorer XLT,2019 65000 Mi.,Negociable,$ 36.900,Ford,Explorer XLT,,,,,,,,,,,,,,
Ford Explorer,2019 65000 Mi.,Negociable,$ 36.900,Ford,Explorer,,,,,,,,,,,,,,
Mercedes Benz C180,2011 95000 Kms.,Negociable,$ 19.900,Mercedes Benz,C180,,,,,,,,,,,,,,
Kia Optima,2018 140000 Kms.,Negociable,$ 13.900,Kia,Optima,,,,,,,,,,,,,,
Kia Soul,2016 1400 Kms.,Negociable,$ 12.900,Kia,Soul,SUV,1400 Kms,Aire Acondicionado,4 x 2,Blanco,7,Eléctricos,Automática,Asistida,,Tela,Eléctrico,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20112024/1866221/o_o/1866221_1732114532556_740.jpg
Hyundai TUCSON TL,2024 125 Kms.,Negociable,$ 32.900,Hyundai,TUCSON TL,Todoterreno,125 Kms,Aire Acondicionado,4 x 2,Negro,8,Eléctricos,Automática,Asistida,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/5122024/1869287/o_o/1869287_1733430164556_571.jpg
Nissan X-Trail,2018 67000 Mi.,Negociable,$ 17.900,Nissan,X-Trail,,,,,,,,,,,,,,
2017 · Ford Explorer XLT,201779000 Millas · Cumbayá,Negociable,$ 30.400,Ford,Explorer XLT,Todoterreno,79000 Millas,Aire Acondicionado,AWD,Plomo,9,Eléctricos,Automática,Asistida,3500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025113/1875127/o_o/pt_1875127_2280212.jpg
2022 · Hyundai Sonata,202215500 Kms · Quito,Negociable,$ 26.900,Hyundai,Sonata,,,,,,,,,,,,,,
Peugeot 2008,2023 16000 Kms.,Negociable,$ 25.400,Peugeot,2008,,,,,,,,,,,,,,
Mercedes Benz GLA 180,2019 84000 Kms.,Negociable,$ 30.900,Mercedes Benz,GLA 180,,,,,,,,,,,,,,
Hyundai GRAN I10,2013 141000 Kms.,Negociable,$ 9.400,Hyundai,GRAN I10,,,,,,,,,,,,,,
Chevrolet Cruze,2015 116000 Kms.,Negociable,$ 11.900,Chevrolet,Cruze,,,,,,,,,,,,,,
Toyota TOYOTA NEW HILUX SR 2.7 CD 4X4,2019 195000 Kms.,Negociable,$ 32.900,Toyota,TOYOTA NEW HILUX SR 2.7 CD 4X4,Camioneta Doble Cabina,195000 Kms,Aire Acondicionado,4 x 4,Blanco,8,Eléctricos,Manual,Hidráulica,2700,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2412025/1877387/o_o/1877387_1737737450128_903.jpg
Ford F150 4X4,2006 2190000 Kms.,Negociable,$ 13.800,Ford,F150 4X4,,,,,,,,,,,,,,
BMW X5 XDRIVE 45E,2020 22000 Kms.,Fijo,$ 73.000,BMW,X5 XDRIVE 45E,,,,,,,,,,,,,,
Kia SOUL EV,2016 7511 Kms.,Negociable,$ 12.900,Kia,SOUL EV,SUV,7511 Kms,Aire Acondicionado,4 x 2,Gris,8,Eléctricos,Automática,Hidráulica,81.4 kW,Tela,Eléctrico,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877386/o_o/pt_1877386_7381915.jpg
Hyundai Tucson,2007 215000 Kms.,Negociable,$ 9.800,Hyundai,Tucson,Todoterreno,215000 Kms,Aire Acondicionado,4 x 2,Beige,6,Eléctricos,Tiptronic,Hidráulica,215000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877392/o_o/pt_1877392_8157358.jpg
Audi A6 3.0T,2023 28456 Kms.,Negociable,$ 59.900,Audi,A6 3.0T,Sedán,28456 Kms,Climatizador,N/A,Azul,8,Eléctricos,Automática,Electrónica,3000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877382/o_o/pt_1877382_6720067.jpg
Chevrolet SPARK GT LS,2019 128000 Kms.,Negociable,$ 9.900,Chevrolet,SPARK GT LS,,,,,,,,,,,,,,
Ford ESCAPE XLS,2008 188780 Kms.,Negociable,$ 9.900,Ford,ESCAPE XLS,Todoterreno Ligero,188780 Kms,Aire Acondicionado,AWD,Azul,6,Eléctricos,Automática,Asistida,3000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877372/o_o/pt_1877372_4791037.jpeg
Chevrolet Tracker LS,2018 151000 Kms.,Negociable,$ 14.900,Chevrolet,Tracker LS,,,,,,,,,,,,,,
Tata K4DEF,2019 5000 Kms.,Negociable,$ 76.900,Tata,K4DEF,Van de Carga,5000 Kms,Aire Acondicionado,6 x 4,Blanco,3,Eléctricos,Manual,Hidráulica,11100,Tela,Diesel,Tungurahua,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877413/o_o/pt_1877413_669754.jpeg
Chevrolet Grand Vitara 5p 4x2,2012 180000 Kms.,Negociable,$ 9.800,Chevrolet,Grand Vitara 5p 4x2,Todoterreno,180000 Kms,Aire Acondicionado,4 x 2,Plomo,6,Eléctricos,Automática,Hidráulica,2000,Tela,Gasolina,Imbabura,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877371/o_o/pt_1877371_5511488.jpeg
Mitsubishi Outlander,2003 280000 Kms.,Negociable,$ 6.300,Mitsubishi,Outlander,Crossover,280000 Kms,N/A,4 x 2,Negro,1,Eléctricos,Automática,Hidráulica,2400,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877367/o_o/pt_1877367_543413.jpeg
Hyundai Elantra,1995 244637 Kms.,Negociable,$ 3.990,Hyundai,Elantra,Sedán,244637 Kms,N/A,4 x 2,Blanco,8,Manuales,Manual,Mecánica,1600,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877361/o_o/pt_1877361_3601679.jpeg
DFSK IX5,2023 17275 Kms.,Negociable,$ 17.900,DFSK,IX5,Todoterreno,17275 Kms,Climatizador,4 x 2,Blanco,9,Eléctricos,Automática,Electrónica,1500,Cuero,Gasolina,Tungurahua,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877345/o_o/pt_1877345_1938372.jpg
Suzuki Samurai SJ,1986 1 Kms.,Negociable,$ 4.990,Suzuki,Samurai SJ,Todoterreno,1 Kms,N/A,4 x 4,Rojo,4,Manuales,Manual,Mecánica,1300,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877357/o_o/pt_1877357_3229094.jpeg
Great Wall Haval H6,2019 126000 Kms.,Negociable,$ 13.900,Great Wall,Haval H6,,,,,,,,,,,,,,
Suzuki Grand Vitara SZ,2019 116558 Kms.,Negociable,$ 14.300,Suzuki,Grand Vitara SZ,Hatchback (5 Puertas),116558 Kms,Aire Acondicionado,4 x 2,Negro,4,Eléctricos,Manual,Hidráulica,2,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877363/o_o/pt_1877363_1488404.jpeg
Mazda BT-50 CD 4x2,2016 174000 Kms.,Negociable,$ 16.500,Mazda,BT-50 CD 4x2,,,,,,,,,,,,,,
Land Rover Range Rover,2020 12610 Mi.,Negociable,$ 195.900,Land Rover,Range Rover,,,,,,,,,,,,,,
Hyundai Kona Sel,2023 4000 Kms.,Negociable,$ 22.900,Hyundai,Kona Sel,Todoterreno,4000 Kms,Aire Acondicionado,4 x 2,Azul,9,Eléctricos,Automática,Hidráulica,1600,Otro,Híbrido,Azuay,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20122024/1872101/o_o/1872101_1737731077316_353.jpg
Toyota Fortuner 4.0,2019 103000 Kms.,Negociable,$ 42.900,Toyota,Fortuner 4.0,Todoterreno,103000 Kms,Aire Acondicionado,4 x 4,Negro,0,Eléctricos,Automática,Electrónica,4000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241215/1871089/o_o/pt_1871089_9493484.jpg
Toyota New Fortuner,2019 103000 Kms.,Negociable,$ 42.900,Toyota,New Fortuner,Todoterreno,103000 Kms,Aire Acondicionado,4 x 4,Negro,0,Eléctricos,Automática,Hidráulica,4000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241215/1871088/o_o/pt_1871088_9305895.jpg
Ram V700 RAPID,2024 25000 Kms.,Negociable,$ 16.900,Ram,V700 RAPID,Van de Carga,25000 Kms,Aire Acondicionado,4 x 2,Blanco,0,Manuales,Manual,Hidráulica,1400,Tela,Diesel,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024129/1869684/o_o/pt_1869684_6207364.jpg
Ford Escape,2013 156000 Kms.,Negociable,$ 13.900,Ford,Escape,SUV,156000 Kms,Aire Acondicionado,4 x 2,Plata,9,Eléctricos,Automática,Electrónica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241129/1868195/o_o/pt_1868195_7262968.jpg
Kia Sportage LX,2015 1670000 Kms.,Negociable,$ 13.900,Kia,Sportage LX,,,,,,,,,,,,,,
Nissan X-Trail,2013 211000 Kms.,Negociable,$ 11.400,Nissan,X-Trail,Todoterreno,211000 Kms,Aire Acondicionado,4 x 2,Plata,7,Eléctricos,Automática,Electrónica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025111/1874866/o_o/pt_1874866_1277445.jpg
BYD Seagull,2025 272 Kms.,Negociable,$ 21.400,BYD,Seagull,Hatchback (5 Puertas),272 Kms,Aire Acondicionado,N/A,Blanco,8,Eléctricos,Automática,Electrónica,0,Tela,Eléctrico,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025118/1876256/o_o/pt_1876256_2057091.jpg
Ford Escape S,2015 156000 Kms.,Negociable,$ 13.900,Ford,Escape S,Todoterreno,156000 Kms,Aire Acondicionado,4 x 2,Plata,9,Eléctricos,Automática,Hidráulica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241129/1868199/o_o/pt_1868199_7909111.jpg
Kia Sportage,2020 72900 Kms.,Negociable,$ 22.900,Kia,Sportage,Todoterreno,72900 Kms,Aire Acondicionado,4 x 2,Plata,3,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877112/o_o/pt_1877112_9474477.jpg
Kia Sportage R,2020 72900 Kms.,Negociable,$ 22.900,Kia,Sportage R,Todoterreno,72900 Kms,Aire Acondicionado,4 x 2,Plata,3,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877113/o_o/pt_1877113_9602577.jpg
Kia SPORTAGE R GTI,2020 72000 Kms.,Negociable,$ 22.900,Kia,SPORTAGE R GTI,Todoterreno Ligero,72000 Kms,Aire Acondicionado,4 x 2,Plata,3,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877114/o_o/pt_1877114_9736417.jpg
2017 · Ford Explorer XLT,201779000 Millas · Cumbayá,Negociable,$ 30.400,Ford,Explorer XLT,Todoterreno,79000 Millas,Aire Acondicionado,AWD,Plomo,9,Eléctricos,Automática,Asistida,3500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025113/1875127/o_o/pt_1875127_2280212.jpg
2022 · Hyundai Sonata,202215500 Kms · Quito,Negociable,$ 26.900,Hyundai,Sonata,,,,,,,,,,,,,,
Peugeot 2008,2023 16000 Kms.,Negociable,$ 25.400,Peugeot,2008,,,,,,,,,,,,,,
Mercedes Benz GLA 180,2019 84000 Kms.,Negociable,$ 30.900,Mercedes Benz,GLA 180,,,,,,,,,,,,,,
Hyundai GRAN I10,2013 141000 Kms.,Negociable,$ 9.400,Hyundai,GRAN I10,,,,,,,,,,,,,,
Chevrolet Cruze,2015 116000 Kms.,Negociable,$ 11.900,Chevrolet,Cruze,,,,,,,,,,,,,,
Toyota TOYOTA NEW HILUX SR 2.7 CD 4X4,2019 195000 Kms.,Negociable,$ 32.900,Toyota,TOYOTA NEW HILUX SR 2.7 CD 4X4,Camioneta Doble Cabina,195000 Kms,Aire Acondicionado,4 x 4,Blanco,8,Eléctricos,Manual,Hidráulica,2700,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2412025/1877387/o_o/1877387_1737737450128_903.jpg
Ford F150 4X4,2006 2190000 Kms.,Negociable,$ 13.800,Ford,F150 4X4,,,,,,,,,,,,,,
BMW X5 XDRIVE 45E,2020 22000 Kms.,Fijo,$ 73.000,BMW,X5 XDRIVE 45E,,,,,,,,,,,,,,
Kia SOUL EV,2016 7511 Kms.,Negociable,$ 12.900,Kia,SOUL EV,SUV,7511 Kms,Aire Acondicionado,4 x 2,Gris,8,Eléctricos,Automática,Hidráulica,81.4 kW,Tela,Eléctrico,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877386/o_o/pt_1877386_7381915.jpg
Hyundai Tucson,2007 215000 Kms.,Negociable,$ 9.800,Hyundai,Tucson,Todoterreno,215000 Kms,Aire Acondicionado,4 x 2,Beige,6,Eléctricos,Tiptronic,Hidráulica,215000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877392/o_o/pt_1877392_8157358.jpg
Audi A6 3.0T,2023 28456 Kms.,Negociable,$ 59.900,Audi,A6 3.0T,Sedán,28456 Kms,Climatizador,N/A,Azul,8,Eléctricos,Automática,Electrónica,3000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877382/o_o/pt_1877382_6720067.jpg
Chevrolet SPARK GT LS,2019 128000 Kms.,Negociable,$ 9.900,Chevrolet,SPARK GT LS,,,,,,,,,,,,,,
Ford ESCAPE XLS,2008 188780 Kms.,Negociable,$ 9.900,Ford,ESCAPE XLS,Todoterreno Ligero,188780 Kms,Aire Acondicionado,AWD,Azul,6,Eléctricos,Automática,Asistida,3000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877372/o_o/pt_1877372_4791037.jpeg
Chevrolet Tracker LS,2018 151000 Kms.,Negociable,$ 14.900,Chevrolet,Tracker LS,,,,,,,,,,,,,,
Tata K4DEF,2019 5000 Kms.,Negociable,$ 76.900,Tata,K4DEF,Van de Carga,5000 Kms,Aire Acondicionado,6 x 4,Blanco,3,Eléctricos,Manual,Hidráulica,11100,Tela,Diesel,Tungurahua,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877413/o_o/pt_1877413_669754.jpeg
Chevrolet Grand Vitara 5p 4x2,2012 180000 Kms.,Negociable,$ 9.800,Chevrolet,Grand Vitara 5p 4x2,Todoterreno,180000 Kms,Aire Acondicionado,4 x 2,Plomo,6,Eléctricos,Automática,Hidráulica,2000,Tela,Gasolina,Imbabura,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877371/o_o/pt_1877371_5511488.jpeg
Mitsubishi Outlander,2003 280000 Kms.,Negociable,$ 6.300,Mitsubishi,Outlander,Crossover,280000 Kms,N/A,4 x 2,Negro,1,Eléctricos,Automática,Hidráulica,2400,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877367/o_o/pt_1877367_543413.jpeg
Hyundai Elantra,1995 244637 Kms.,Negociable,$ 3.990,Hyundai,Elantra,Sedán,244637 Kms,N/A,4 x 2,Blanco,8,Manuales,Manual,Mecánica,1600,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877361/o_o/pt_1877361_3601679.jpeg
DFSK IX5,2023 17275 Kms.,Negociable,$ 17.900,DFSK,IX5,Todoterreno,17275 Kms,Climatizador,4 x 2,Blanco,9,Eléctricos,Automática,Electrónica,1500,Cuero,Gasolina,Tungurahua,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877345/o_o/pt_1877345_1938372.jpg
Suzuki Samurai SJ,1986 1 Kms.,Negociable,$ 4.990,Suzuki,Samurai SJ,Todoterreno,1 Kms,N/A,4 x 4,Rojo,4,Manuales,Manual,Mecánica,1300,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877357/o_o/pt_1877357_3229094.jpeg
Great Wall Haval H6,2019 126000 Kms.,Negociable,$ 13.900,Great Wall,Haval H6,,,,,,,,,,,,,,
Suzuki Grand Vitara SZ,2019 116558 Kms.,Negociable,$ 14.300,Suzuki,Grand Vitara SZ,Hatchback (5 Puertas),116558 Kms,Aire Acondicionado,4 x 2,Negro,4,Eléctricos,Manual,Hidráulica,2,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877363/o_o/pt_1877363_1488404.jpeg
Mazda BT-50 CD 4x2,2016 174000 Kms.,Negociable,$ 16.500,Mazda,BT-50 CD 4x2,,,,,,,,,,,,,,
Land Rover Range Rover,2020 12610 Mi.,Negociable,$ 195.900,Land Rover,Range Rover,,,,,,,,,,,,,,
Hyundai Kona Sel,2023 4000 Kms.,Negociable,$ 22.900,Hyundai,Kona Sel,Todoterreno,4000 Kms,Aire Acondicionado,4 x 2,Azul,9,Eléctricos,Automática,Hidráulica,1600,Otro,Híbrido,Azuay,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20122024/1872101/o_o/1872101_1737731077316_353.jpg
Toyota Fortuner 4.0,2019 103000 Kms.,Negociable,$ 42.900,Toyota,Fortuner 4.0,Todoterreno,103000 Kms,Aire Acondicionado,4 x 4,Negro,0,Eléctricos,Automática,Electrónica,4000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241215/1871089/o_o/pt_1871089_9493484.jpg
Toyota New Fortuner,2019 103000 Kms.,Negociable,$ 42.900,Toyota,New Fortuner,Todoterreno,103000 Kms,Aire Acondicionado,4 x 4,Negro,0,Eléctricos,Automática,Hidráulica,4000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241215/1871088/o_o/pt_1871088_9305895.jpg
Ram V700 RAPID,2024 25000 Kms.,Negociable,$ 16.900,Ram,V700 RAPID,Van de Carga,25000 Kms,Aire Acondicionado,4 x 2,Blanco,0,Manuales,Manual,Hidráulica,1400,Tela,Diesel,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024129/1869684/o_o/pt_1869684_6207364.jpg
Ford Escape,2013 156000 Kms.,Negociable,$ 13.900,Ford,Escape,SUV,156000 Kms,Aire Acondicionado,4 x 2,Plata,9,Eléctricos,Automática,Electrónica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241129/1868195/o_o/pt_1868195_7262968.jpg
Kia Sportage LX,2015 1670000 Kms.,Negociable,$ 13.900,Kia,Sportage LX,,,,,,,,,,,,,,
